Model,Accuracy,Precision,Recall,F1-Score,ROC AUC
Logistic Regression,0.94,1.0,0.9,0.9473684210526315,0.95
Random Forest,0.93,1.0,0.8833333333333333,0.9380530973451328,0.9416666666666667
Decision Tree,0.91,0.9636363636363636,0.8833333333333333,0.9217391304347826,0.9166666666666666
XGBoost,0.94,1.0,0.9,0.9473684210526315,0.95
SVM,0.93,0.9818181818181818,0.9,0.9391304347826087,0.9374999999999999
